movieid,genres,year
841,Horror,1959
843,Drama,1995
849,Action|Adventure|Sci-Fi|Thriller,1996
854,Drama,1958
859,Documentary,1996
868,Comedy,1991
872,Drama,1994
875,Drama,1994
878,Drama,1995
880,Sci-Fi|Thriller,1996
882,Drama|Thriller,1996
884,Drama,1995
892,Comedy|Drama|Romance,1996
901,Comedy|Musical,1957
902,Drama|Romance,1961
904,Mystery|Thriller,1954
905,Comedy,1934
907,Comedy|Musical|Romance,1934
915,Comedy|Romance,1954
927,Comedy,1939
932,Romance,1957
934,Comedy,1950
939,Comedy|Drama,1958
940,Action|Adventure,1938
944,Drama,1937
951,Comedy,1940
960,Crime|Drama,1946
963,Musical,1949
964,Western,1947
967,Western,1943
973,Drama,1941
978,Drama,1930
981,Drama,1997
989,Drama,1995
992,Thriller,1996
1000,Crime,1996
1003,Drama|Thriller,1996
1007,Children's|Comedy|Western,1975
1009,Adventure|Children's|Fantasy,1975
1014,Children's|Comedy|Drama,1960
1015,Adventure|Children's,1993
1041,Drama,1996
1043,Drama|Romance,1996
1046,Drama|Romance,1996
1054,Drama,1996
1056,Drama,1996
1068,Crime|Film-Noir,1947
1069,Film-Noir|Thriller,1944
1073,Adventure|Children's|Comedy|Fantasy,1971
1079,Comedy,1988
1082,Drama,1972
1084,Crime|Drama,1967
1086,Mystery|Thriller,1954
1094,Drama|Romance|War,1992
1096,Drama,1982
1097,Children's|Drama|Fantasy|Sci-Fi,1982
1099,Drama,1938
1113,Comedy,1996
1116,Drama,1995
1119,Drama,1997
1125,Comedy,1974
1126,Comedy|Fantasy,1991
1130,Horror,1980
1134,Action|Drama,1993
1136,Comedy,1974
1149,Documentary|Drama,1994
1150,Drama,1982
1151,Animation|Comedy|Thriller,1994
1162,Comedy,1972
1169,Documentary,1990
1173,Drama,1989
1176,Drama,1991
1179,Crime|Drama|Film-Noir,1990
1183,Drama|Romance|War,1996
1185,Drama,1989
1186,Drama,1989
1189,Documentary,1988
1196,Action|Adventure|Drama|Sci-Fi|War,1980
1199,Sci-Fi,1985
1203,Drama,1957
1204,Adventure|War,1962
1207,Drama,1962
1212,Mystery|Thriller,1949
1214,Action|Horror|Sci-Fi|Thriller,1979
1215,Action|Adventure|Comedy|Horror|Sci-Fi,1993
1216,Adventure|Romance,1988
1228,Drama,1980
1235,Comedy,1971
1242,Action|Drama|War,1989
1243,Comedy|Drama,1990
1244,Comedy|Drama|Romance,1979
1249,Thriller,1990
1254,Adventure,1948
1256,Comedy|War,1933
1258,Horror,1980
1259,Adventure|Comedy|Drama,1986
1276,Comedy|Drama,1967
1278,Comedy|Horror,1974
1281,Comedy,1940
1290,Drama|Romance,1987
1292,Comedy,1979
1295,Drama,1988
1298,Drama|Musical|War,1982
1302,Drama,1989
1307,Comedy|Romance,1989
1311,Comedy,1996
1313,Crime,1996
1316,Drama,1996
1317,Comedy,1996
1321,Horror,1981
1323,Horror,1983
1328,Horror,1990
1330,Comedy|Horror,1986
1335,Action|Horror,1981
1343,Thriller,1991
1353,Comedy|Romance,1996
1357,Drama|Romance,1996
1380,Comedy|Musical|Romance,1978
1386,Western,1958
1387,Action|Horror,1975
1388,Action|Horror,1978
1390,Comedy,1996
1396,Crime|Drama|Sci-Fi,1992
1397,Drama,1996
1405,Animation|Comedy,1996
1410,Comedy|Drama,1996
1417,Drama,1996
1419,Drama,1971
1421,Documentary,1995
1422,Mystery|Thriller,1997
1426,Children's,1997
1427,Thriller,1997
1428,Drama,1995
1429,Action,1996
1430,Thriller,1997
1434,Action,1994
1437,Drama,1993
1439,Comedy,1997
1441,Comedy|Romance,1993
1444,Comedy,1994
1445,Comedy|War,1997
1449,Comedy,1996
1455,Comedy|Romance,1996
1464,Mystery,1997
1466,Crime|Drama,1997
1470,Documentary,1997
1471,Drama,1997
1474,Children's|Comedy,1997
1477,Romance,1997
1480,Action|Drama|Thriller,1997
1482,Comedy|Drama,1996
1490,Comedy,1997
1496,Drama|Romance,1997
1499,Action|Adventure|Thriller,1997
1501,Crime,1997
1508,Drama,1997
1510,Drama,1997
1513,Comedy,1997
1517,Comedy,1997
1526,Comedy,1997
1531,Drama,1996
1532,Comedy,1997
1533,Drama,1996
1538,Adventure|Children's,1997
1539,Comedy|Crime,1997
1541,Comedy|Romance,1997
1542,Comedy|Drama|Romance,1996
1549,Drama|Romance,1995
1551,Adventure|Children's|Drama,1997
1562,Action|Adventure|Crime,1997
1563,Drama,1997
1570,Sci-Fi,1992
1579,Drama,1996
1581,Comedy,1997
1582,Adventure|Children's,1997
1584,Drama|Sci-Fi,1997
1585,Comedy,1996
1588,Children's|Comedy,1997
1590,Action|Mystery|Sci-Fi|Thriller,1997
1593,Comedy|Romance,1997
1595,Adventure|Children's|Drama,1997
1598,Crime|Drama|Thriller,1998
1600,Drama|Romance,1997
1606,Action|Adventure,1997
1611,Drama,1991
1617,Crime|Film-Noir|Mystery|Thriller,1997
1619,Drama|War,1997
1623,Horror,1997
1626,Action|Drama|Thriller,1997
1630,Comedy|Drama,1997
1642,Comedy|Drama,1996
1648,Comedy|Drama|Thriller,1997
1649,Documentary,1997
1650,Drama,1997
1651,Drama,1997
1654,Children's|Drama|Fantasy,1997
1655,Horror,1998
1656,Romance,1997
1657,Documentary,1997
1664,Drama,1996
1667,Action|Drama,1997
1672,Drama,1997
1674,Drama|Romance|Thriller,1985
1675,Crime|Thriller,1997
1685,Romance,1996
1692,Horror|Sci-Fi,1995
1693,Drama,1997
1694,Drama,1997
1707,Children's|Comedy,1997
1727,Drama,1998
1731,Comedy,1997
1733,Drama|Romance,1997
1735,Drama|Romance,1998
1749,Romance,1996
1750,Adventure|Children's|Fantasy|Sci-Fi,1997
1754,Action|Mystery|Thriller,1998
1756,Horror,1998
1779,Adventure|Sci-Fi|Thriller,1998
1782,Comedy|Romance,1998
1797,Documentary,1998
1810,Drama,1998
1811,Drama,1997
1812,Children's|Comedy|Drama,1998
1826,Adventure|Children's,1998
1829,Drama|Romance,1997
1832,Action|Drama,1997
1834,Drama|Thriller,1997
1836,Drama,1998
1850,Drama|Romance,1998
1857,Comedy,1997
1863,Comedy,1998
1865,Documentary,1998
1867,Action|Adventure,1998
1868,Drama|War,1996
1871,Comedy|Drama,1997
1872,Drama,1995
1875,Comedy,1997
1883,Comedy,1998
1885,Comedy|Drama,1998
1886,Comedy,1998
1888,Comedy|Drama|Romance,1998
1890,Drama,1997
1893,Drama,1996
1894,Adventure|Comedy|Romance,1998
1895,Comedy|Drama|Romance,1998
1896,Comedy,1998
1897,Drama|Romance,1998
1900,Drama,1997
1902,Drama|Romance,1996
1904,Comedy|Drama,1997
1909,Mystery|Sci-Fi|Thriller,1998
1913,Drama|Mystery,1975
1915,Drama,1997
1916,Action|Comedy|Drama,1998
1919,Children's|Comedy,1998
1920,Animation|Children's|Fantasy|War,1998
1923,Comedy,1998
1924,Horror|Sci-Fi,1958
1925,Drama|Romance|War,1927
1926,Musical,1929
1933,Drama,1937
1934,Comedy,1938
1940,Drama,1947
1947,Musical|Romance,1961
1952,Drama,1969
1965,Comedy|Sci-Fi,1984
1972,Horror,1989
1979,Horror,1986
1994,Horror|Thriller,1982
1997,Horror,1973
1999,Horror,1990
2001,Action|Comedy|Crime|Drama,1989
2006,Action|Adventure|Romance,1998
2007,Comedy,1998
2010,Sci-Fi,1926
2011,Comedy|Sci-Fi,1989
2016,Children's|Comedy|Western,1979
2018,Animation|Children's,1942
2021,Fantasy|Sci-Fi,1984
2023,Action|Crime|Drama,1990
2033,Animation|Children's,1985
2035,Children's|Comedy,1968
2036,Children's|Comedy,1994
2037,Adventure|Children's|Comedy,1977
2038,Children's|Comedy|Sci-Fi,1978
2043,Adventure|Children's|Fantasy,1959
2045,Adventure|Children's|Drama|Romance,1993
2046,Adventure|Children's|Sci-Fi,1986
2048,Animation|Children's,1986
2053,Children's|Comedy|Sci-Fi,1992
2058,Action|Thriller,1998
2063,Drama|Romance,1997
2064,Comedy|Documentary,1989
2067,Drama|Romance|War,1965
2068,Drama,1982
2070,Drama,1983
2074,Drama,1974
2075,Drama|War,1981
2085,Animation|Children's,1961
2086,Drama|Fantasy,1985
2089,Animation|Children's,1990
2102,Animation|Children's|Comedy|Musical,1940
2107,Horror|Thriller,1998
2109,Comedy,1979
2112,Crime|Drama,1991
2115,Action|Adventure,1984
2116,Adventure|Animation|Children's|Sci-Fi,1978
2118,Horror|Thriller,1983
2120,Drama|Horror,1993
2123,Animation|Children's,1989
2130,Crime|Drama|Romance,1980
2131,Drama,1978
2132,Drama,1966
2137,Animation|Children's,1973
2138,Animation|Children's|Drama|Fantasy,1978
2150,Comedy,1980
2153,Action|Adventure,1998
2157,Romance,1998
2161,Adventure|Children's|Fantasy,1984
2165,Drama,1998
2166,Drama|Romance,1998
2168,Drama|Romance,1998
2170,Action|Comedy,1998
2172,Comedy,1998
2173,Adventure|Fantasy|Sci-Fi,1988
2180,Thriller,1966
2185,Thriller,1953
2193,Action|Adventure|Fantasy,1988
2194,Action|Crime|Drama,1987
2195,Comedy,1998
2197,Drama,1997
2203,Film-Noir|Thriller,1943
2204,Thriller,1942
2215,Comedy|Romance,1932
2218,Drama,1930
2219,Mystery|Thriller,1930
2223,Comedy,1928
2226,Drama,1927
2227,Thriller,1926
2232,Sci-Fi|Thriller,1997
2233,Drama,1998
2237,Drama,1998
2238,Comedy|Drama,1976
2239,Comedy|Drama,1975
2241,Comedy,1983
2242,Drama,1984
2246,Comedy,1988
2247,Comedy,1988
2251,Comedy,1991
2252,Comedy|Drama,1992
2265,Adventure|Comedy,1991
2272,Drama,1998
2278,Action|Crime|Thriller,1998
2279,Horror|Thriller,1998
2285,Drama,1968
2287,Sci-Fi|Thriller|War,1954
2292,Romance,1996
2295,Comedy,1998
2299,Comedy,1959
2304,Drama,1998
2305,Drama,1998
2306,Comedy,1998
2311,Mystery|Sci-Fi,1984
2312,Drama,1986
2321,Comedy,1998
2322,Action|Adventure|Sci-Fi|Thriller|War,1998
2328,Horror,1998
2334,Action|Thriller,1998
2335,Comedy,1998
2336,Drama,1998
2345,Drama,1986
2348,Drama,1986
2349,Comedy|Thriller,1986
2351,Drama,1957
2354,Animation|Children's|Comedy,1998
2358,Drama,1998
2367,Action|Adventure|Horror,1976
2372,Comedy,1989
2374,Comedy|Drama,1986
2379,Comedy,1985
2382,Comedy,1988
2386,Drama,1998
2387,Comedy|Crime,1998
2388,Drama|Romance,1997
2389,Crime|Horror|Thriller,1998
2391,Crime|Thriller,1998
2395,Comedy,1998
2397,Drama,1984
2400,Children's|Drama,1989
2401,Western,1985
2402,Action|War,1985
2403,Action,1982
2404,Action|War,1988
2405,Action|Adventure|Comedy|Romance,1985
2408,Comedy|Sci-Fi,1988
2409,Action|Drama,1979
2415,Drama|Romance,1986
2417,Comedy|Drama,1986
2419,Drama|Thriller,1986
2422,Action|Adventure|Drama,1989
2423,Comedy,1989
2424,Comedy|Romance,1998
2425,Crime,1998
2426,Comedy|Drama|Romance,1998
2427,Action|Drama|War,1998
2428,Horror|Sci-Fi,1998
2434,Drama,1998
2436,Comedy,1999
2447,Comedy|Drama,1999
2450,Adventure|Children's|Sci-Fi,1986
2461,Horror,1990
2464,Horror,1986
2467,Mystery,1986
2470,Adventure|Comedy,1986
2472,Comedy,1986
2479,Drama|Thriller,1999
2488,Drama|Horror|Thriller,1960
2500,Comedy,1999
2501,Drama,1999
2507,Comedy,1999
2514,Horror,1992
2523,Drama|Thriller,1977
2534,Action,1978
2537,Adventure,1979
2538,Documentary,1998
2539,Comedy,1999
2540,Action|Crime|Drama|Thriller,1999
2541,Drama,1999
2542,Comedy|Crime|Thriller,1998
2544,Drama,1998
2559,Animation|Children's,1999
2560,Drama|Horror,1999
2565,Musical,1956
2566,Animation|Children's,1999
2567,Comedy,1999
2570,Drama|Romance,1999
2581,Comedy|Romance,1999
2583,Mystery,1999
2593,Comedy,1994
2599,Comedy,1999
2607,Drama,1998
2616,Action|Crime,1990
2618,Comedy,1997
2624,Drama,1998
2625,Action,1996
2626,Comedy|Drama|Romance,1998
2628,Action|Adventure|Fantasy|Sci-Fi,1999
2632,Drama,1965
2633,Horror|Romance,1932
2636,Horror,1944
2644,Horror,1931
2650,Horror,1942
2651,Horror,1943
2654,Horror,1941
2656,Horror|Sci-Fi,1955
2661,Sci-Fi,1953
2662,Action|Sci-Fi|War,1953
2670,War,1958
2671,Comedy|Romance,1999
2673,Drama,1998
2675,Comedy|Drama|Romance,1998
2676,Drama|Thriller,1999
2677,Documentary,1999
2681,Comedy|Romance|Sci-Fi,1998
2683,Comedy,1999
2688,Drama|Thriller,1999
2692,Action|Crime|Romance,1998
2696,Comedy,1998
2697,Comedy|Drama|Romance,1998
2701,Action|Sci-Fi|Western,1999
2703,Drama,1998
2707,Thriller,1999
2708,Romance,1998
2709,Children's|Comedy,1999
2713,Horror|Thriller,1999
2715,Comedy|Romance,1998
2717,Comedy|Horror,1989
2722,Action|Sci-Fi|Thriller,1999
2724,Comedy|Romance,1999
2726,Crime|Film-Noir,1956
2729,Drama,1962
2738,Comedy|Drama,1986
2742,Comedy|Drama,1986
2747,Comedy|Horror,1960
2752,Comedy|Mystery,1987
2755,Drama,1987
2758,Drama,1985
2766,Comedy|Drama,1998
2768,Comedy,1998
2769,Crime|Mystery,1999
2772,Comedy,1999
2773,Drama,1998
2774,Comedy|Romance,1999
2775,Drama,1998
2779,Comedy,1978
2780,Comedy|Horror,1963
2786,Comedy,1986
2792,Comedy,1982
2798,Comedy,1990
2800,Animation|Children's,1992
2802,Action|Romance|Thriller,1988
2803,Thriller,1993
2805,Comedy|Romance,1999
2806,Comedy|Thriller,1999
2809,Comedy,1999
2811,Comedy,1998
2812,Action|Thriller,1999
2819,Thriller,1975
2820,Drama,1964
2827,Sci-Fi|Thriller,1999
2828,Children's|Comedy,1999
2833,Romance|War,1997
2836,Comedy,1999
2842,Crime|Drama,1999
2845,Drama,1999
2846,Children's,1986
2858,Comedy|Drama,1999
2865,Comedy,1999
2867,Comedy|Horror,1985
2869,Drama,1994
2880,Action|Adventure|Comedy,1990
2881,Action|Thriller,1999
2883,Comedy,1999
2888,Comedy|Romance,1999
2898,Horror|Mystery,1993
2900,Horror|Sci-Fi,1988
2905,Action|Adventure,1962
2913,Comedy,1998
2917,Crime|Thriller,1981
2918,Comedy,1986
2924,Action|Comedy,1979
2926,Comedy|Drama,1988
2927,Drama|Romance,1946
2932,Drama,1978
2940,Film-Noir,1946
2948,Action,1963
2949,Action,1962
2953,Children's|Comedy,1992
2967,Drama|Thriller,1956
2968,Adventure|Fantasy|Sci-Fi,1981
2971,Musical,1979
2975,Drama,1999
2976,Drama|Horror,1999
2983,Thriller,1965
2984,Documentary,1971
2987,Adventure|Animation|Film-Noir,1988
2988,Drama,1980
2994,Drama,1998
2996,Drama,1999
2999,Comedy,1999
3001,Drama,1999
3002,Documentary,1999
3003,Comedy|Drama,1998
3006,Drama,1999
3007,Documentary,1999
3008,Thriller,1998
3011,Drama,1969
3013,Comedy|Horror,1990
3014,Comedy,1981
3015,Thriller,1978
3020,Action|Drama,1993
3026,Horror,1987
3028,Comedy,1967
3032,Sci-Fi,1971
3033,Comedy|Sci-Fi,1987
3040,Comedy,1979
3042,Comedy,1987
3044,Mystery|Romance|Thriller,1991
3046,Comedy|Romance,1995
3051,Drama,1999
3061,Comedy|Musical,1942
3068,Drama,1982
3072,Comedy,1987
3076,Comedy,1963
3078,Drama,1999
3084,Documentary,1999
3087,Comedy,1988
3091,Drama|War,1980
3093,Drama|Western,1971
3095,Drama,1940
3106,Drama|Romance,1990
3112,Drama,1986
3124,Comedy|Drama,1999
3127,Drama,1999
3129,Comedy|Drama,1999
3133,Comedy,1925
3134,Drama|War,1937
3137,Action|War,1980
3141,Drama,1990
3145,Drama,1999
3147,Drama|Thriller,1999
3148,Drama,1999
3150,Drama,1999
3154,Drama|War,1945
3155,Drama|Romance,1999
3156,Comedy|Drama|Sci-Fi,1999
3163,Drama,1999
3171,Drama,1959
3175,Adventure|Comedy|Sci-Fi,1999
3178,Drama,1999
3182,Documentary,1999
3183,Drama,1999
3188,Documentary,1998
3190,Adventure|Sci-Fi,2000
3196,Drama|War,1953
3197,Action,1988
3200,Comedy|Drama,1973
3202,Drama,1971
3206,Romance,1984
3207,Adventure,1952
3211,Drama,1988
3212,Drama,1971
3218,Drama,1991
3220,Drama,1961
3224,Drama,1964
3233,Comedy,1967
3240,Comedy,1999
3245,Drama,1964
3250,Drama,1993
3251,Drama|Mystery,1985
3259,Drama|Romance,1992
3260,Drama,1992
3266,Action|Comedy|Crime|Drama,1992
3268,Action|Comedy,1992
3271,Drama,1992
3272,Crime|Drama,1992
3273,Horror|Mystery|Thriller,2000
3274,Action,1992
3275,Action|Comedy,1999
3290,Comedy,1999
3293,Drama|Sci-Fi,1997
3297,Documentary,1930
3300,Action|Sci-Fi,2000
3304,Crime|Drama,1978
3309,Comedy,1920
3318,Thriller,1998
3320,Comedy|Romance,1999
3324,Comedy,2000
3330,Drama,1961
3346,Horror,1965
3350,Drama,1961
3353,Comedy|Romance,2000
3354,Sci-Fi,2000
3355,Thriller,2000
3361,Comedy,1988
3368,Romance|Western,1958
3374,Drama,1992
3380,Film-Noir,1947
3381,Comedy|Drama,1997
3396,Children's|Comedy,1979
3397,Children's|Comedy,1981
3398,Children's|Comedy,1984
3400,Animation|Children's,1993
3402,Drama,1985
3405,Action|Drama,1958
3409,Drama|Thriller,2000
3416,Drama,1963
3418,Action|Drama,1991
3420,Drama|Thriller,1979
3423,Drama,1988
3429,Animation|Comedy,1990
3430,Action|Drama,1974
3433,Action|Drama,1987
3434,Action|Drama,1994
3436,Drama|Romance,1991
3443,Action|Drama|Thriller,1986
3444,Action,1988
3445,Mystery|Thriller,1978
3453,Drama|Romance,2000
3457,Drama,1999
3458,Drama|Romance,1989
3461,Adventure|Drama|Thriller,1963
3462,Comedy,1936
3468,Drama,1961
3474,Sci-Fi|Thriller,1997
3479,Adventure|Fantasy|Romance,1985
3481,Comedy,2000
3483,Animation|Children's,2000
3484,Thriller,2000
3485,Horror,1975
3491,Comedy,1986
3497,Comedy,1983
3504,Comedy|Drama,1976
3507,Comedy,1968
3509,Drama,1999
3514,Drama,2000
3515,Comedy,2000
3516,Comedy|Romance,1958
3522,Drama,1971
3527,Action|Sci-Fi|Thriller,1987
3538,Comedy,1999
3539,Documentary,2000
3544,Comedy,1991
3545,Musical|War,1972
3546,Drama|Thriller,1962
3547,Drama,1987
3551,Thriller,1976
3556,Comedy|Drama,1999
3559,Drama,1952
3567,Comedy,1999
3568,Drama,1999
3573,Horror|Sci-Fi,1995
3575,Drama,1997
3577,Drama,1988
3578,Action|Drama,2000
3579,Drama,2000
3586,Drama,1980
3593,Action|Sci-Fi,2000
3598,Drama,2000
3600,Comedy|Musical,1961
3602,Musical,1960
3604,Musical,1962
3609,Documentary,1998
3610,Musical,1964
3612,Adventure|Musical|Romance,1976
3617,Comedy,2000
3619,Comedy,1980
3623,Action|Thriller,2000
3625,Documentary,1999
3631,Comedy,1998
3634,Thriller,1964
3637,Drama,1985
3639,Action,1974
3640,Comedy|Drama,1957
3641,Drama,1923
3645,Drama,1962
3647,Drama,2000
3648,Horror|Sci-Fi,1957
3653,Documentary,1966
3654,Action|Drama|War,1961
3655,Drama,1973
3657,Drama,1951
3669,Comedy,1992
3672,Adventure|Children's,1974
3673,Adventure|Children's,1987
3680,Documentary,1988
3682,Western,1973
3683,Drama|Film-Noir,1984
3688,Comedy,1981
3690,Comedy,1985
3710,Action|Comedy,1988
3713,Drama,1990
3715,Comedy,1987
3716,Action|Crime,1987
3717,Action|Crime,2000
3719,Comedy|Romance,2000
3722,Comedy,1999
3725,Animation|Musical,1981
3728,Thriller,1991
3739,Comedy|Romance,1932
3741,Crime|Drama,1973
3747,Drama,1999
3749,Drama,1999
3753,Action|Drama|War,2000
3759,Animation|Children's|Musical,1947
3763,Action|Crime|Thriller,1986
3764,Action|Crime|Thriller,1992
3770,Adventure|Crime|Sci-Fi|Thriller,1984
3771,Action|Adventure,1974
3772,Horror,1969
3773,Comedy,1990
3780,Sci-Fi,1950
3785,Comedy|Horror,2000
3786,Comedy,1999
3790,Drama,2000
3791,Drama,1984
3793,Action|Sci-Fi,2000
3794,Comedy|Drama,2000
3825,Drama,2000
3827,Action|Sci-Fi,2000
3835,Thriller,1993
3849,Thriller,1946
3851,Comedy,2000
3853,Drama,1998
3855,Drama|Romance,1999
3863,Sci-Fi|Thriller,2000
3870,Drama,1940
3872,Drama,1959
3875,Horror,1968
3888,Drama|Romance,2000
3890,Documentary,2000
3892,Horror,2000
3902,Drama,1999
3908,Horror,2000
3911,Comedy,2000
3913,Documentary,1999
3916,Drama,2000
3917,Horror,1987
3923,Horror|Sci-Fi,1959
3927,Adventure|Sci-Fi,1966
3930,Horror,1954
3936,Drama|Thriller,1943
3950,Drama,2000
